日期,销售额,利润,客户数,区域,产品类别,促销活动
2024-01-01,12000,3500,45,华北,电子产品,双旦促销
2024-01-02,9800,2800,38,华北,日用品,无
2024-01-03,15000,4200,52,华南,电子产品,双旦促销
2024-01-04,11000,3100,41,华南,服装,无
2024-01-05,13500,3900,48,华东,电子产品,无
2024-01-06,8900,2500,35,华东,食品,年货节
2024-01-07,16000,4800,55,西南,电子产品,年货节
2024-01-08,10500,3000,40,西南,日用品,无
2024-01-09,14200,4100,50,华北,服装,无
2024-01-10,11800,3400,43,华南,食品,无
2024-01-11,17000,5200,60,华东,电子产品,年货节
2024-01-12,12500,3700,47,西南,服装,无
2024-01-13,9500,2600,33,华北,食品,双旦促销
2024-01-14,13800,4000,49,华南,电子产品,无
2024-01-15,15200,4500,54,华东,日用品,年货节
2024-01-16,10800,3050,39,西南,食品,无
2024-01-17,14500,4250,51,华北,电子产品,年货节
2024-01-18,13200,3800,46,华南,服装,双旦促销
2024-01-19,11500,3300,42,华东,日用品,无
2024-01-20,16800,4900,58,西南,电子产品,双旦促销
2024-02-01,17200,5100,62,华北,电子产品,春节大促
2024-02-02,14000,4000,53,华南,服装,春节大促
2024-02-03,18500,5600,68,华东,食品,春节大促
2024-02-04,13200,3800,48,西南,电子产品,无
2024-02-05,15800,4700,57,华北,日用品,春节大促
2024-02-06,12100,3500,44,华南,电子产品,无
2024-02-07,16500,5000,60,华东,服装,春节大促
2024-02-08,13900,4100,50,西南,食品,无
2024-02-09,17600,5300,64,华北,电子产品,元宵促销
2024-02-10,14800,4400,54,华南,日用品,元宵促销
2024-02-11,19000,5800,70,华东,电子产品,元宵促销
2024-02-13,17100,5100,63,南区,食品,元旦促销
2024-02-13，17100,5100,63,华北,食品,元宵促销
2024-02-14,14400,4300,52,华南,电子产品,无
2024-02-15,18200,5500,66,华东,日用品,元宵促销
